# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	228098
#@/user_id	3eb7fba5-02d4-4760-8547-f0decde08619
a 	啊	c=692 d=1.71343 t=228098
hao hao xue 	好好學	c=1 d=8.5677e-94 t=228098
hao he ci 	好和次	c=1 d=4.00572e-32 t=228098
hao hen duo 	好很多	c=2 d=4.89359e-05 t=228098
hao hua 	豪華	c=2 d=5.96038e-22 t=228098
hao ji ci 	好幾次	c=9 d=0.000147748 t=228098
hao ji fen 	好積分	c=1 d=2.75693e-19 t=228098
hao ji ge 	好幾個	c=22 d=0.862429 t=228098
hao ji nian 	好幾年	c=4 d=0.000118571 t=228098
hao ji qian 	好幾千	c=1 d=9.51006e-57 t=228098
hao ji tao 	好幾套	c=1 d=9.46685e-121 t=228098
hao ji tian 	好幾天	c=1 d=2.75974e-31 t=228098
hao ji xing bu ru lan bi tou 	好記性不如爛筆頭	c=1 d=0.0159229 t=228098
hao ji zhong 	好幾種	c=4 d=2.57544e-12 t=228098
hao jia huo 	好傢伙	c=5 d=5.09503e-09 t=228098
hao jian dan 	好簡單	c=1 d=1.18422e-48 t=228098
hao jian yi 	好建議	c=1 d=1.53654e-112 t=228098
hao jiao 	號角	c=1 d=2.1209e-51 t=228098
hao jie guo 	好結果	c=1 d=1.18386e-15 t=228098
hao jie ru 	好接入	c=1 d=2.6832e-53 t=228098
hao jing jian 	好精簡	c=1 d=1 t=198254
hao jiu 	好久	c=15 d=0.341298 t=228098
hao kan 	好看	c=20 d=0.0256042 t=228098
hao ke pa 	好可怕	c=2 d=2.62113e-13 t=228098
hao ku 	好酷	c=0 d=3.8149e-10 t=228098
hao ku xuan 	好酷炫	c=1 d=1.92181e-09 t=228098
hao ku xuan 	好酷選	c=1 d=1.91222e-09 t=228098
hao le 	好了	c=2 d=1.53459e-09 t=228098
hao lei 	好嘞	c=19 d=0.0290133 t=228098
hao li hai 	好厲害	c=1 d=1.44174e-10 t=228098
hao ling ren 	好令人	c=1 d=6.35853e-27 t=228098
hao lou 	號樓	c=1 d=1.88017e-16 t=228098
hao ma 	好嘛	c=2 d=8.78693e-09 t=228098
hao ma 	號碼	c=4 d=0.008271 t=228098
hao ma fan 	好麻煩	c=2 d=0.038544 t=228098
hao mai 	好買	c=1 d=3.38892e-06 t=228098
hao man 	好慢	c=3 d=0.433874 t=228098
hao miao 	毫秒	c=3 d=0.00116786 t=228098
hao miao zhi 	毫秒值	c=3 d=0.0237113 t=228098
hao nan 	好難	c=8 d=0.00256704 t=228098
hao nan nong 	好難弄	c=1 d=5.34243e-08 t=228098
hao nan yong 	好難用	c=1 d=0.0118551 t=228098
hao ne duo 	好呢多	c=1 d=3.29885e-42 t=228098
hao ni bi 	好你比	c=1 d=4.91127e-18 t=228098
hao ning 	好擰	c=1 d=3.31144e-28 t=228098
hao niu bi 	好牛逼	c=6 d=1.08669e-07 t=228098
hao nong 	好弄	c=8 d=0.00509773 t=228098
hao ping 	好評	c=0 d=8.85685e-15 t=228098
hao ping lv 	好評率	c=1 d=8.90125e-14 t=228098
hao ping xiang 	好評想	c=1 d=5.04933e-50 t=228098
hao qi 	好奇	c=19 d=3.22364e-06 t=228098
hao qi guai 	好奇怪	c=10 d=4.96839e-07 t=228098
hao qi xin 	好奇心	c=2 d=0.0144798 t=228098
hao qing zhuang zhi 	豪情壯志	c=1 d=0.0475963 t=228098
hao qiu 	好球	c=0 d=2.63015e-25 t=228098
hao qiu gai 	好球改	c=2 d=2.64334e-24 t=228098
hao ren 	好人	c=1 d=2.0367e-45 t=228098
hao rong yi 	好容易	c=1 d=1.57913e-22 t=228098
hao shen qi 	好神奇	c=3 d=7.18045e-16 t=228098
hao shi 	好事	c=3 d=6.11565e-10 t=228098
hao shi 	好使	c=6 d=0.0314298 t=228098
hao shi 	耗時	c=21 d=0.594521 t=228098
hao shou 	好受	c=0 d=9.92074e-26 t=228098
hao shou dian le 	好受點了	c=1 d=9.97047e-25 t=228098
hao shu xi 	好熟悉	c=1 d=9.05145e-05 t=228098
hao shuang 	好爽	c=1 d=0.0430669 t=228098
hao shuo 	好說	c=1 d=2.13973e-08 t=228098
hao si 	好似	c=7 d=0.235746 t=228098
hao si bu shi 	好似不是	c=2 d=1.81297e-29 t=228098
hao si fou 	好似否	c=1 d=8.06574e-119 t=228098
hao teng 	好疼	c=1 d=1 t=227727
hao ting 	好聽	c=0 d=4.00299e-25 t=228098
hao ting dian 	好聽點	c=1 d=4.02306e-24 t=228098
hao wan 	好玩	c=6 d=0.308819 t=228098
hao wan me 	好玩麼	c=1 d=0.00588705 t=228098
hao wei lai 	好未來	c=1 d=1 t=222229
hao wen ti 	好問題	c=2 d=1.00015 t=219353
hao wu 	毫無	c=1 d=7.84998e-06 t=228098
hao xi 	好戲	c=0 d=5.13732e-19 t=228098
hao xi 	好洗	c=1 d=1 t=226058
hao xi guan 	好習慣	c=1 d=4.49606e-67 t=228098
hao xi na ge 	好戲那個	c=3 d=5.16307e-18 t=228098
hao xia 	豪俠	c=0 d=4.24172e-30 t=228098
hao xia ang 	豪俠昂	c=3 d=2.57229e-27 t=228098
hao xia ge 	豪俠個	c=2 d=4.70941e-83 t=228098
hao xian 	好險	c=1 d=1.18604e-66 t=228098
hao xiang 	好像	c=387 d=1.07979 t=228098
hao xiang bu xing 	好像不行	c=1 d=2.45268e-55 t=228098
hao xiang cong 	好像從	c=1 d=0.0323869 t=228098
hao xiang dou shi 	好像都是	c=1 d=3.5192e-38 t=228098
hao xiang he 	好像和	c=1 d=1.65508e-104 t=228098
hao xiang mei you 	好像沒有	c=1 d=0.00242967 t=228098
hao xiang ni 	好想你	c=1 d=6.97253e-82 t=228098
hao xiang shang ci 	好像上次	c=1 d=6.19416e-13 t=228098
hao xiang shi 	好像是	c=10 d=0.280832 t=228098
hao xiang xu yao 	好像需要	c=1 d=9.19451e-13 t=228098
hao xiang yao 	好像要	c=1 d=2.76624e-88 t=228098
hao xiang you xie 	好像有些	c=1 d=2.72717e-09 t=228098
hao xiao 	好笑	c=1 d=0.351692 t=228098
hao xiao xi 	好消息	c=1 d=1.51907e-07 t=228098
hao xie 	好些	c=10 d=0.0478349 t=228098
hao xie 	好寫	c=1 d=7.08031e-86 t=228098
hao xie tian 	好些天	c=2 d=7.71971e-15 t=228098
hao xing 	豪興	c=4 d=0.00047843 t=228098
hao xing fu 	好幸福	c=1 d=1 t=199887
hao xue 	好學	c=1 d=1.23154e-09 t=228098
hao yan ge 	好嚴格	c=1 d=1.26577e-08 t=228098
hao yan zhong 	好嚴重	c=2 d=1.83946 t=228098
hao yang 	好樣	c=4 d=6.89768e-06 t=228098
hao yong 	好用	c=10 d=0.00179097 t=228098
hao you 	好友	c=10 d=0.0923367 t=228098
hao you 	耗油	c=1 d=5.6445e-08 t=228098
hao you xiang 	好郵箱	c=1 d=2.27359e-16 t=228098
hao yu 	好於	c=1 d=1.02919e-15 t=228098
hao yuan 	好遠	c=1 d=4.51735e-05 t=228098
hao zai 	好在	c=2 d=8.08053e-23 t=228098
hao zao 	好早	c=1 d=1.32538e-20 t=228098
hao zhao 	好找	c=1 d=1.02654e-14 t=228098
hao zhe 	浩哲	c=10 d=7.00141e-12 t=228098
hao zhuan 	好轉	c=1 d=0.00316691 t=228098
hao zhuang guan 	好壯觀	c=1 d=2.26411e-55 t=228098
hao zou 	好走	c=1 d=2.65018e-25 t=228098
he 	何	c=3 d=5.1863e-12 t=228098
he 	合	c=5 d=0.00802655 t=228098
he 	和	c=1387 d=3.12109 t=228098
he 	喝	c=15 d=0.151546 t=228098
he bei 	喝杯	c=1 d=2.55816e-21 t=228098
he bei 	河北	c=13 d=8.85685e-09 t=228098
he bei sheng 	河北省	c=1 d=3.89064e-42 t=228098
he bi 	何必	c=0 d=4.01446e-88 t=228098
he bi ge 	何必個	c=2 d=2.36517e-10 t=228098
he bin 	河濱	c=1 d=2.62132e-102 t=228098
he bing 	合併	c=143 d=0.178577 t=228098
he bing chong tu 	合併衝突	c=1 d=2.34468e-84 t=228098
he bing dao 	合併到	c=2 d=3.37767e-84 t=228098
he bing wan 	合併萬	c=1 d=5.04348e-07 t=228098
he cha 	覈查	c=1 d=5.60262e-38 t=228098
he cheng 	合成	c=11 d=0.289605 t=228098
he dao 	喝道	c=1 d=1 t=199919
he dian 	喝點	c=1 d=0.00831246 t=228098
he er wei yi 	合二爲一	c=1 d=3.22463e-39 t=228098
he fa 	合法	c=8 d=0.024972 t=228098
he fa xing 	合法性	c=5 d=1.85344e-24 t=228098
he gui 	合規	c=5 d=7.33822e-07 t=228098
he ji 	合計	c=1 d=4.748e-32 t=228098
he ji 	合集	c=1 d=4.7718e-32 t=228098
he jin qu 	喝進去	c=1 d=1.13099e-07 t=228098
he jiu 	喝酒	c=3 d=0.0229371 t=228098
he kai shui 	喝開水	c=1 d=2.80927e-05 t=228098
he ke neng 	和可能	c=1 d=2.08506e-27 t=228098
he kou 	喝口	c=1 d=1 t=226072
he kuai 	和快	c=1 d=1 t=204373
he li 	合理	c=11 d=0.431711 t=228098
he li shan shi 	合理膳食	c=1 d=7.47094e-12 t=228098
he liu cheng 	和流程	c=1 d=1 t=205201
he nan 	河南	c=2 d=0.0214936 t=228098
he nan ni 	河南你	c=2 d=0.759572 t=228098
he neng ji shu 	核能技術	c=2 d=0.549168 t=228098
he ni men 	和你們	c=1 d=0.0208584 t=228098
he re shui 	喝熱水	c=1 d=3.48181e-30 t=228098
he ru 	何如	c=1 d=1 t=224706
he shi 	合適	c=22 d=0.0314298 t=228098
he si pei 	和四陪	c=1 d=0.0222592 t=228098
he si yong 	和四用	c=1 d=3.05873e-94 t=228098
he su a 	和蘇啊	c=1 d=3.28988e-10 t=228098
he suan 	合算	c=1 d=3.70404e-52 t=228098
he suan 	核酸	c=86 d=0.53009 t=228098
he suan 	覈算	c=44 d=0.677057 t=228098
he suan jian ce 	覈算檢測	c=1 d=6.91793e-19 t=228098
he ta men le 	和他們了	c=1 d=4.14135e-12 t=228098
he tang 	喝湯	c=1 d=1.47062e-08 t=228098
he tong 	合同	c=19 d=0.0972957 t=228098
he tong ma en 	合同嗎恩	c=1 d=3.39285e-49 t=228098
he wan 	喝完	c=2 d=0.0461896 t=228098
he xie 	和諧	c=2 d=2.5454e-21 t=228098
he xin 	核心	c=29 d=0.0741344 t=228098
he xin ceng 	和新層	c=3 d=1.70327e-30 t=228098
he xin ceng 	核心層	c=2 d=1.71181e-30 t=228098
he xin ku 	和辛苦	c=1 d=6.99817e-37 t=228098
he xin shu 	核心書	c=1 d=0.744532 t=228098
he zai 	何在	c=1 d=1 t=220256
he zai 	合在	c=1 d=1 t=220257
he ze 	菏澤	c=0 d=1.45975e-10 t=228098
he ze kuai 	菏澤快	c=1 d=1.46707e-09 t=228098
he zi 	盒子	c=2 d=0.40914 t=228098
he zu 	何足	c=1 d=1.14216e-05 t=228098
he zu 	合租	c=2 d=1.96079 t=227991
he zu yi 	何足一	c=1 d=7.60558e-75 t=228098
he zuo 	合作	c=9 d=0.00186406 t=228098
he zuo fang 	合作方	c=1 d=1 t=217213
hei 	嘿	c=1 d=1 t=228098
hei 	黑	c=11 d=0.396531 t=228098
hei an 	黑暗	c=1 d=3.20865e-11 t=228098
hei an an 	黑暗岸	c=1 d=4.26892e-16 t=228098
hei an zhi men 	黑暗之門	c=1 d=3.22474e-10 t=228098
hei ba 	黑吧	c=1 d=6.72627e-12 t=228098
hei bai 	黑白	c=8 d=1.08259 t=228098
hei ban 	黑板	c=0 d=0.000499159 t=228098
hei bu la ji 	黑不垃圾	c=1 d=1.47207e-49 t=228098
hei che 	黑車	c=1 d=0.123687 t=228098
hei de 	黑的	c=1 d=0.0111647 t=228098
hei gu long dong 	黑咕隆咚	c=2 d=7.85532e-14 t=228098
hei hai 	黑海	c=1 d=2.40051e-09 t=228098
hei hai an 	黑海岸	c=4 d=2.5957e-05 t=228098
hei hai an 	黑海按	c=2 d=1.32836e-17 t=228098
hei hei 	嘿嘿	c=51 d=0.647265 t=228098
hei hua 	黑話	c=1 d=2.05717e-45 t=228098
hei ke 	黑客	c=1 d=0.0623495 t=228098
hei ke ji 	黑科技	c=2 d=7.75287e-36 t=228098
hei le yi tian 	黑了一天	c=1 d=3.82099e-06 t=228098
hei mao 	黑貓	c=5 d=3.14355e-116 t=228098
hei mao tou su 	黑貓投訴	c=1 d=2.9888e-116 t=228098
hei ming dan 	黑名單	c=1 d=1 t=217571
hei ping 	黑屏	c=1 d=1.39239e-12 t=228098
hei qiu 	黑球	c=1 d=2.04823e-82 t=228098
hei se 	黑色	c=25 d=0.752014 t=228098
hei shou 	黑手	c=6 d=0.00134038 t=228098
hei si 	黑絲	c=1 d=1.87328e-61 t=228098
hei si e 	黑死呃	c=1 d=1.70351e-61 t=228098
hei xin 	黑心	c=0 d=1.2853e-42 t=228098
hei xin ni 	黑心你	c=2 d=1.29174e-41 t=228098
hei yi 	黑翼	c=2 d=2.91448e-18 t=228098
hei yi zhi huan 	黑翼之環	c=2 d=2.87109e-18 t=228098
hei zi 	黑字	c=2 d=5.41735e-61 t=228098
hen 	很	c=190 d=0.856527 t=228098
hen 	狠	c=1 d=1.27823e-35 t=228098
hen bang 	很棒	c=4 d=0.20089 t=228098
hen bao qian 	很抱歉	c=4 d=0.157237 t=228098
hen bu cuo 	很不錯	c=13 d=0.0237541 t=228098
hen bu de 	恨不得	c=1 d=7.05408e-13 t=228098
hen bu xing 	很不幸	c=1 d=8.34817e-24 t=228098
hen bu zi ran 	很不自然	c=1 d=7.29097e-78 t=228098
hen cai 	很菜	c=1 d=1 t=227859
hen cha 	很差	c=1 d=2.29285e-27 t=228098
hen chang 	很長	c=11 d=0.839457 t=228098
hen chang jian 	很常見	c=1 d=2.39913e-60 t=228098
hen chang yi duan 	很長一段	c=1 d=2.29793e-53 t=228098
hen chao 	很吵	c=1 d=1.15164e-14 t=228098
hen chen 	很沉	c=1 d=1 t=221692
hen cu cao 	很粗糙	c=1 d=1.59668e-05 t=228098
hen da 	很大	c=21 d=0.00161245 t=228098
hen dan 	很淡	c=0 d=9.20077e-22 t=228098
hen dan ni 	很淡你	c=1 d=9.24689e-21 t=228098
hen dan xin 	很擔心	c=1 d=5.76833e-28 t=228098
hen di 	很低	c=4 d=4.10014e-12 t=228098
hen dou 	很都	c=1 d=1.96077e-98 t=228098
hen du 	很毒	c=18 d=0.97531 t=228098
hen du li 	很獨立	c=1 d=0.186374 t=228098
hen duan 	很短	c=0 d=2.1232e-06 t=228098
hen duo 	很多	c=164 d=1.02119 t=228098
hen duo ba 	很多吧	c=1 d=1 t=198107
hen duo chang jing 	很多場景	c=1 d=1.23024e-26 t=228098
hen duo jian 	很多見	c=1 d=2.48458e-60 t=228098
hen duo ku 	很多庫	c=1 d=1.21007e-08 t=228098
hen duo qian 	很多錢	c=1 d=1.841e-33 t=228098
hen duo ren 	很多人	c=9 d=2.35258e-06 t=228098
hen duo wen ti 	很多問題	c=1 d=0.00386807 t=228098
hen duo yi shu 	很多藝術	c=1 d=1.55107e-17 t=228098
hen duo you xiu 	很多優秀	c=1 d=3.27403e-12 t=228098
hen fang bian 	很方便	c=4 d=2.57588e-14 t=228098
hen fei jin 	很費勁	c=1 d=4.23437e-38 t=228098
hen fu za 	很複雜	c=2 d=1.4967e-09 t=228098
hen gao 	很高	c=6 d=4.1938e-13 t=228098
hen gao ji 	很高級	c=1 d=9.07092e-89 t=228098
hen guang 	很廣	c=1 d=2.21972e-28 t=228098
hen hao 	很好	c=20 d=0.00110269 t=228098
hen hao fei 	很好飛	c=1 d=1.90982e-53 t=228098
hen hao kan 	很好看	c=1 d=6.6775e-44 t=228098
hen ji 	很急	c=3 d=6.22097e-05 t=228098
hen ji shi 	很及時	c=1 d=0.293758 t=228098
hen jian dan 	很簡單	c=5 d=0.0713613 t=228098
hen jin 	很近	c=4 d=2.09509e-54 t=228098
hen jing cai 	很精彩	c=1 d=2.0571e-74 t=228098
hen jiu 	很久	c=10 d=7.21521e-14 t=228098
hen ka 	很卡	c=2 d=0.205975 t=228098
hen kai xin 	很開心	c=3 d=5.78739e-08 t=228098
hen ke neng 	很可能	c=3 d=1.81865e-07 t=228098
hen kuai 	很快	c=13 d=3.91461e-05 t=228098
hen kuai jiu 	很快就	c=1 d=6.9623e-06 t=228098
hen kuai jiu hao 	很快就好	c=1 d=1.23112e-05 t=228098
hen kui a 	很虧啊	c=1 d=1.37915e-76 t=228098
hen kun nan 	很困難	c=1 d=2.23991e-105 t=228098
hen lao 	很老	c=5 d=4.90192e-25 t=228098
hen lei 	很累	c=1 d=1.23154e-09 t=228098
hen li hai 	很厲害	c=2 d=3.44306e-16 t=228098
hen li jie 	很理解	c=1 d=7.65021e-85 t=228098
hen liao jie 	很瞭解	c=3 d=1.04258e-20 t=228098
hen luan 	很亂	c=1 d=2.30678e-10 t=228098
hen man 	很慢	c=3 d=9.4713e-09 t=228098
hen mang 	很忙	c=5 d=0.00185476 t=228098
hen ming xian 	很明顯	c=2 d=0.0130365 t=228098
hen nan 	很難	c=18 d=2.58209 t=228098
hen nan gao 	很難高	c=1 d=1.17815e-17 t=228098
hen nan yong 	很難用	c=1 d=2.48728e-14 t=228098
hen nan zhao 	很難找	c=1 d=2.86788e-42 t=228098
hen niu 	很牛	c=3 d=1.39913e-10 t=228098
hen niu bi 	很牛逼	c=4 d=0.208045 t=228098
hen qi guai 	很奇怪	c=2 d=6.36394e-37 t=228098
hen qi quan 	很齊全	c=1 d=1.31945e-26 t=228098
hen qiang 	很強	c=2 d=1.10992e-22 t=228098
hen qing chu 	很清楚	c=4 d=1.4306e-07 t=228098
hen qu ai 	很去愛	c=1 d=3.57033e-90 t=228098
hen rong yi 	很容易	c=7 d=0.000936388 t=228098
hen sa hou 	很撒後	c=1 d=0.120633 t=228098
hen shao 	很少	c=25 d=0.121238 t=228098
hen shao ting 	很少聽	c=1 d=1.42691e-06 t=228098
hen shen 	很深	c=1 d=1 t=209625
hen shen qi 	很神奇	c=1 d=5.33136e-13 t=228098
hen shi he 	很適合	c=1 d=3.65313e-95 t=228098
hen shu 	很熟	c=1 d=5.20238e-19 t=228098
hen shu fu 	很舒服	c=2 d=7.18045e-16 t=228098
hen shu xi 	很熟悉	c=1 d=4.51768e-94 t=228098
hen shuang 	很爽	c=6 d=0.00634556 t=228098
hen te shu 	很特殊	c=1 d=8.14344e-26 t=228098
hen teng 	很疼	c=1 d=1 t=226414
hen tong ku 	很痛苦	c=1 d=4.36109e-32 t=228098
hen wan 	很晚	c=1 d=1.42905e-53 t=228098
hen xi huan 	很喜歡	c=1 d=9.80938e-98 t=228098
hen xiang 	很像	c=1 d=2.57843e-55 t=228098
hen xiang xi 	很詳細	c=2 d=2.25159e-78 t=228098
hen xiao 	很小	c=4 d=1.07602e-09 t=228098
hen xing fu 	很幸福	c=1 d=1 t=205834
hen yan zhong 	很嚴重	c=3 d=2.39431e-07 t=228098
hen yao ming 	很要命	c=1 d=1 t=207881
hen yin bi 	很隱蔽	c=1 d=1 t=211875
hen you 	很有	c=8 d=0.0096577 t=228098
hen you ke neng 	很有可能	c=1 d=3.9656e-90 t=228098
hen you qu 	很有趣	c=2 d=3.61959e-16 t=228098
hen you yi si 	很有意思	c=1 d=0.0333733 t=228098
hen you yong 	很有用	c=1 d=6.3019e-10 t=228098
hen yuan 	很遠	c=3 d=1.91157e-05 t=228098
hen za 	很雜	c=1 d=0.612626 t=228098
hen zan 	很讚	c=2 d=1.38927e-15 t=228098
hen zao 	很早	c=11 d=3.90894e-09 t=228098
hen zhai 	很窄	c=1 d=3.1431e-120 t=228098
hen zhao ji 	很着急	c=1 d=0.000593188 t=228098
hen zhong 	很重	c=1 d=5.30533e-73 t=228098
hen zhong shi 	很重視	c=2 d=6.19205e-09 t=228098
hen zhong yao 	很重要	c=3 d=2.56172e-08 t=228098
hen zhun que 	很準確	c=1 d=9.4942e-08 t=228098
hen zi xin 	很自信	c=1 d=1.99473e-06 t=228098
heng 	哼	c=1 d=6.05274e-06 t=228098
heng 	橫	c=6 d=0.377192 t=228098
heng gong 	哼共	c=1 d=1.01208e-53 t=228098
heng guo lai 	橫過來	c=1 d=1 t=214688
heng jie mian 	橫截面	c=1 d=0.133989 t=228098
heng liang 	衡量	c=3 d=0.00274164 t=228098
heng sao 	橫掃	c=2 d=2.8248e-11 t=228098
heng xian 	橫線	c=2 d=8.45965e-33 t=228098
heng xiang 	橫向	c=2 d=2.59135e-55 t=228098
heng zuo biao 	橫坐標	c=3 d=0.000157387 t=228098
heng zuo biao 	橫座標	c=1 d=9.54341e-10 t=228098
hong 	宏	c=48 d=0.244982 t=228098
hong 	紅	c=7 d=3.20974e-14 t=228098
hong ba 	紅吧	c=1 d=1.80989e-09 t=228098
hong bao 	紅包	c=29 d=0.358796 t=228098
hong bao feng mian 	紅包封面	c=1 d=5.14449e-05 t=228098
hong deng 	紅燈	c=2 d=2.25504e-96 t=228098
hong dian 	紅點	c=4 d=2.51356e-20 t=228098
hong guan 	宏觀	c=1 d=7.99876e-21 t=228098
hong hong 	哄哄	c=1 d=1 t=221588
hong kai 	轟開	c=2 d=5.09503e-09 t=228098
hong kuang 	紅框	c=14 d=0.00327971 t=228098
hong lou meng 	紅樓夢	c=1 d=0.0395575 t=228098
hong lv deng 	紅綠燈	c=1 d=1.64711e-106 t=228098
hong ren 	紅人	c=1 d=1.54386e-21 t=228098
hong se 	紅色	c=17 d=1.23481e-11 t=228098
hong shou 	紅手	c=1 d=4.54603e-50 t=228098
hong tang 	紅糖	c=0 d=4.85067e-20 t=228098
hong tang shui 	紅糖水	c=1 d=4.87498e-19 t=228098
hong tou 	紅透	c=1 d=1.26465e-27 t=228098
hong tou 	紅頭	c=1 d=1.27099e-27 t=228098
hong wei 	宏偉	c=1 d=5.6653e-110 t=228098
hong zhang 	紅章	c=2 d=3.72856e-12 t=228098
hou 	厚	c=0 d=3.36789e-22 t=228098
hou 	吼	c=1 d=4.03772e-08 t=228098
hou 	後	c=347 d=1.36175 t=228098
hou bei 	後備	c=1 d=8.4292e-20 t=228098
hou bei 	後背	c=1 d=8.47145e-20 t=228098
hou duan 	後端	c=54 d=0.000689186 t=228098
hou guo 	後果	c=1 d=2.38237e-07 t=228098
hou hui you qi 	後會有期	c=1 d=1.20839e-21 t=228098
hou jia 	後加	c=1 d=2.90934e-05 t=228098
hou lai 	後來	c=30 d=0.000553084 t=228098
hou lia 	後倆	c=1 d=1.70885e-39 t=228098
hou mi a 	後米啊	c=5 d=0.00149594 t=228098
hou mian 	後面	c=129 d=0.135429 t=228098
hou mian zai 	後面在	c=1 d=1 t=212486
hou mian zai shuo 	後面再說	c=1 d=0.0237541 t=228098
hou qi 	後期	c=32 d=0.217621 t=228098
hou qin 	後勤	c=1 d=1.57859e-18 t=228098
hou qu 	後去	c=2 d=4.49482e-05 t=228098
hou sheng ke wei 	後生可畏	c=1 d=3.4951e-16 t=228098
hou ta 	後他	c=1 d=3.01011e-82 t=228098
hou tai 	後臺	c=82 d=0.115943 t=228098
hou tai ren wu 	後臺任務	c=1 d=5.66549e-81 t=228098
hou tian 	後天	c=9 d=0.214381 t=228098
hou tuan 	後團	c=1 d=5.53838e-20 t=228098
hou tun 	後屯	c=1 d=3.96801e-09 t=228098
hou xu 	後續	c=309 d=1.47337 t=228098
hou xuan 	候選	c=0 d=0.099005 t=228098
hou xuan ci 	候選詞	c=1 d=0.995012 t=228098
hou yi zheng 	後遺症	c=1 d=2.71967e-06 t=228098
hou zhi 	後知	c=1 d=0.00144449 t=228098
hu 	壺	c=1 d=0.213608 t=209530
hu 	戶	c=1 d=1.76791e-27 t=228098
hu 	湖	c=8 d=0.00458484 t=228098
hu 	胡	c=1 d=2.58879e-14 t=228098
hu 	虎	c=5 d=4.37942e-09 t=228098
hu 	護	c=1 d=2.52917e-34 t=228098
hu bu 	互補	c=0 d=2.23047e-27 t=228098
hu bu qu 	互補去	c=1 d=2.24165e-26 t=228098
hu chi 	互斥	c=1 d=2.92492e-09 t=228098
hu chi 	呼哧	c=2 d=0.000453121 t=228098
hu chi 	護持	c=1 d=2.91033e-09 t=228098
hu dong 	互動	c=6 d=0.122456 t=228098
hu du 	弧度	c=0 d=2.75834e-26 t=228098
hu du zhi 	弧度值	c=1 d=2.77216e-25 t=228098
hu fu 	護膚	c=2 d=3.67242e-10 t=228098
hu gao hu di 	忽高忽低	c=1 d=0.00159641 t=228098
hu hu 	乎乎	c=1 d=2.61392e-10 t=228098
hu jia 	護甲	c=1 d=4.10865e-07 t=228098
hu jiang 	胡講	c=1 d=0.000166586 t=228098
hu jiao 	呼叫	c=6 d=0.000340532 t=228098
hu kan 	胡侃	c=2 d=5.6028e-09 t=228098
hu kou 	戶口	c=7 d=3.35373 t=228098
hu kou ben 	戶口本	c=4 d=1.68289e-06 t=228098
hu kou ye 	戶口頁	c=1 d=3.19037e-31 t=228098
hu lai 	胡來	c=1 d=5.96731e-74 t=228098
hu li 	狐狸	c=0 d=2.4372e-11 t=228098
hu li 	護理	c=1 d=3.2092e-12 t=228098
hu li ren 	狐狸人	c=2 d=5.01159e-10 t=228098
hu lian wang 	互聯網	c=3 d=0.000385874 t=228098
hu liang 	互諒	c=0 d=3.82034e-05 t=228098
hu liang wang 	互諒網	c=1 d=0.000383949 t=228098
hu lu dao 	葫蘆島	c=1 d=1.44572e-13 t=228098
hu luan 	胡亂	c=1 d=1.03274e-26 t=228098
hu lve 	忽略	c=46 d=0.0581343 t=228098
hu nian 	虎年	c=3 d=1.57587e-13 t=228098
hu qiu 	虎丘	c=1 d=4.87415e-17 t=228098
hu qu 	湖區	c=6 d=0.00516939 t=228098
hu sheng 	呼聲	c=1 d=1.66286e-71 t=228098
hu tong 	互通	c=1 d=1 t=226510
hu tong 	衚衕	c=1 d=0.000352662 t=228098
hu tou 	戶頭	c=1 d=2.66275e-110 t=228098
hu tu 	糊塗	c=2 d=0.412714 t=228098
hu xi 	呼吸	c=1 d=1 t=223462
hu xian 	弧線	c=1 d=1.09246e-11 t=228098
hu xiang 	互相	c=4 d=0.000500451 t=228098
hu xie 	胡寫	c=1 d=2.28655e-24 t=228098
hu xing 	弧形	c=1 d=5.10909e-12 t=228098
hu xu 	鬍鬚	c=1 d=1.63004e-13 t=228098
hu you 	忽悠	c=4 d=1.27519e-07 t=228098
hu zhe 	護着	c=1 d=3.16196e-14 t=228098
hu zhi 	滬指	c=1 d=2.11722e-60 t=228098
hu zhu 	互助	c=1 d=0.000439444 t=228098
hu zhu 	戶主	c=1 d=6.27326e-74 t=228098
hu zi 	鬍子	c=1 d=1 t=214482
hua 	化	c=43 d=0.178279 t=228098
hua 	畫	c=49 d=0.416862 t=228098
hua 	花	c=13 d=1.10022e-06 t=228098
hua 	話	c=255 d=0.852425 t=228098
hua ban 	畫板	c=2 d=6.47705e-10 t=228098
hua ban 	花瓣	c=1 d=2.08116e-05 t=228098
hua bu 	畫布	c=14 d=2.16216 t=228098
hua bu 	花布	c=1 d=1.49941e-89 t=228098
hua bu zhong 	畫布中	c=1 d=2.24982e-10 t=228098
hua chen 	華晨	c=0 d=1.30107e-29 t=228098
hua chen yu 	華晨於	c=1 d=6.42353e-29 t=228098
hua chen yu 	華晨餘	c=1 d=6.65233e-29 t=228098
hua chu 	畫出	c=1 d=8.19009e-05 t=228098
hua chu lai 	畫出來	c=1 d=2.50793e-23 t=228098
hua de lai 	划得來	c=1 d=1 t=203220
hua dian 	花店	c=1 d=9.6387e-68 t=228098
hua dian 	花點	c=1 d=9.68701e-68 t=228098
hua ding 	劃定	c=1 d=2.86691e-38 t=228098
hua fei 	花費	c=3 d=1.10416e-48 t=228098
hua fen 	劃分	c=6 d=0.01649 t=228098
